transcription,transcription_whisper_base_en
THE WIDE ROAD SHIMMERED IN THE HOT SUN, The wide road shimmed in the hot sun.
THE LAZY COW LAY IN THE COOL GRASS, The lazy Calle in the cool grass.
LIFT THE SQUARE STONE OVER THE FENCE, Lift the square stone over the fence.
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE, The rope will bind the seven books at once.
HOP OVER THE FENCE AND PLUNGE IN, Hop over the fence and plunge in.
THE FRIENDLY GANG LEFT THE DRUG STORE, The friendly gang left the drugstore.
MESH WIRE KEEPS CHICKS INSIDE, Mesh wire keeps chicks inside.
THE FROSTY AIR PASSED THROUGH THE COAT, The frosty air passed through the coach.
THE CROOKED MAZE FAILED TO FOOL THE MOUSE, The crooked maze failed to fool the mouse.
ADDING FAST LEADS TO WRONG SUMS, Adding fast leads to wrong sums.
THE SHOW WAS A FLOP FROM THE VERY START, The show was a flop from the very start.
A SAW AS A TOOL USED FOR MAKING BOARDS, A saw is a tool used for making boards.
THE WAGON MOVED ON WELL OILED WHEELS, The wagon moved on well-oiled whales.
MARCH THE SOLDIERS PAST THE NEXT HILL, Match the soldiers past the next hill.
A CUP OF SUGAR MAKES SWEET FUDGE, A cup of sugar makes sweet fudge.
PLACE A ROSEBUSH NEAR THE PORCH STEPS, Place a rose bush near the porch steps.
BOTH LOST THEIR LIVES IN THE RAGING STORM, Both lost their lives in the raging storm.
WE TALKED OF THE SIDE SHOW IN THE CIRCUS, We talked of the sideshow in the circus.
USE A PENCIL TO WRITE THE FIRST DRAFT, Use a pencil to write the first draft.
HE RAN HALFWAY TO THE HARDWARE STORE, He ran halfway to the hardware store.
THE CLOCK STRUCK TO MARK THE THIRD PERIOD, The clock struck to mark the third period.
A SMALL CREEK CUT ACROSS THE FIELD, A small creek cut across the field.
CARS AND BUSSES STALLED IN SNOW DRIFTS, Carzing buses stalled in snowdrifts.
THE SET OF CHINA HIT THE FLOOR WITH A CRASH, The set of China hit the floor with a crash.
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD, This is a grand season for hikes on the road.
THE DUNE ROSE FROM THE EDGE OF THE WATER, The dune rose from the edge of the water.
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE, Those words were the cue for the actor to leave.
A YACHT SLID AROUND THE POINT INTO THE BAY, I yot slid around the point into the bay.
THE TWO MET WHILE PLAYING ON THE SAND, The two met while playing on the sand.
THE INK STAIN DRIED ON THE FINISHED PAGE, The ink stained right on the finished page.
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT, The war town was seized without a fight.
THE LEASE RAN OUT IN SIXTEEN WEEKS, The lease ran out in 16 weeks.
A TAME SQUIRREL MAKES A NICE PET, A tame squirrel makes a nice pet.
THE HORN OF THE CAR WOKE THE SLEEPING COP, The horn of the cow woke the sleeping cop.
THE HEART BEATS STRONGLY AND WITH FIRM STROKES, The heart beat strongly and with firm strokes.
THE PEARL WAS WORN IN A THIN SILVER RING, The pearl was warning a thin silver ring.
THE FRUIT PEEL WAS CUT IN THICK SLICES, The fruit peel was cut in thick slices.
THE NAVY ATTACKED THE BIG TASK FORCE, The navy attacked the beach house force.
SEE THE CAT GLARING AT THE SCARED MOUSE, See the cat glaring at the scared mouse.
THERE ARE MORE THAN TWO FACTORS HERE, There are more than 2 factors here.
THE HAT BRIM WAS WIDE AND TOO DROOPY, The heart brim was wide and too droopy.
THE LAWYER TRIED TO LOSE HIS CASE, The lawyer tried to lose his case.
THE GRASS CURLED AROUND THE FENCE POST, The grass cold around the fence post.
CUT THE PIE INTO LARGE PARTS, Cut the pie into large parts
MEN STRIVE BUT SELDOM GET RICH, Men's drive but seldom get rich.
ALWAYS CLOSE THE BARN DOOR TIGHT, Always close the barn door tight.
HE LAY PRONE AND HARDLY MOVED A LIMB, He lay prone and hotly moved to a limb.
THE SLUSH LAY DEEP ALONG THE STREET, The slush lady along the street.
A WISP OF CLOUD HUNG IN THE BLUE AIR, A whisper of cloud hung in the blue air.
A POUND OF SUGAR COSTS MORE THAN EGGS, A pound of sugar costs more than eggs.
THE FIN WAS SHARP AND CUT THE CLEAR WATER, The thing was sharp and cut the clear water.
THE PLAY SEEMS DULL AND QUITE STUPID, The play seems dull and quite stupid.
BAIL THE BOAT TO STOP IT FROM SINKING, Fail the boat to stop it from sinking.
THE TERM ENDED IN LATE JUNE THAT YEAR, The term ended in late June that year.
A TUSK USED TO MAKE COSTLY GIFTS, A task is used to make costly gifts.
TEN PINS WERE SET IN ORDER, 10 pins were set in order.
THE BILL WAS PAID EVERY THIRD WEEK, The bill was paid every third week.
OAK IS STRONG AND ALSO GIVES SHADE, Oak is strong and also gives shade.
CATS AND DOGS EACH HATE THE OTHER, Cats and dogs each hate the other.
THE PIPE BEGAN TO RUST WHILE NEW, The pipe began to rust while new.
OPEN THE CRATE BUT DON'T BREAK THE GLASS, Open the crepe but don't break the glass.
ADD THE SUM TO THE PRODUCT OF THESE THREE, Add the sum to the product of these three.
THIEVES WHO ROB FRIENDS DESERVE JAIL," Please, who Rob France deserve jail."
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE, The right taste of cheese improves with age.
ACT ON THESE ORDERS WITH GREAT SPEED, Act on these orders with great speed.
THE HOG CRAWLED UNDER THE HIGH FENCE, The hole crawled under the high fence.
MOVE THE VAT OVER THE HOT FIRE, Move the bat over the hot fire.
THE BARK OF THE PINE TREE WAS SHINY AND DARK, The bark of the pine tree was shiny and dark.
LEAVES TURN BROWN AND YELLOW IN THE FALL, Leaves turn brown and yellow in the fall.
THE PENNANT WAVED WHEN THE WIND BLEW, The penrant waved when the wind blew.
SPLIT THE LOG WITH A QUICK, Split the log with a quick.
SHARP BLOW, Sharp Blow
BURN PEAT AFTER THE LOGS GIVE OUT, Burnpete after the logs give out.
HE ORDERED PEACH PIE WITH ICE CREAM, He ordered pitch pie with ice cream.
WEAVE THE CARPET ON THE RIGHT HAND SIDE, Weave the carpet on the right hand side.
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS, Hemp is a weed found in parts of the tropics.
A LAME BACK KEPT HIS SCORE LOW, I'll lay back kept his score line
WE FIND JOY IN THE SIMPLEST THINGS, We find joy in the simplest things.
TYPE OUT THREE LISTS OF ORDERS, Type out three lists of orders
THE HARDER HE TRIED THE LESS HE GOT DONE, The harder he tried the less he got done.
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE, The boss ran the show with a watch for I.
THE CUP CRACKED AND SPILLED ITS CONTENTS, The cup cracked and spilled its contents.
PASTE CAN CLEANSE THE MOST DIRTY BRASS, Paste can cleanse the most dirty brass
THE SLANG WORD FOR RAW WHISKY IS BOOZE, The slang word for all whisk ears boosts.
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP, It caught its hindpouring a rusty trap.
THE WHARF COULD BE SEEN AT THE FARTHER SHORE, The wolf could be seen at the father's shore.
FEEL THE HEAT OF THE WEAK DYING FLAME, Fill the heat of the weak drying flame.
THE TINY GIRL TOOK OFF HER HAT, The tiny girl took off her heart.
A CRAMP IS NO SMALL DANGER ON A SWIN, A cramp is no small danger on a swim.
HE SAID THE SAME PHRASE THIRTY TIMES, He said the same phrase 30 times.
PLUCK THE BRIGHT ROSE WITHOUT LEAVES, Pluck the bright rose without leaves.
TWO PLUS SEVEN IS LESS THAN TEN, 2 plus 7 is less than 10.
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL, The glow deepened in the eyes of the sweet girl.
BRING YOUR PROBLEMS TO THE WISE CHIEF, Bring your problems to the wise chief.
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH, write a fond note to the friend you cherish
CLOTHES AND LODGING ARE FREE TO NEW MEN, Clothes and lodging are free to new men.
WE FROWN WHEN EVENTS TAKE A BAD TURN, We frown when events take a bad turn.
PORT IS A STRONG WINE WITH A SMOKY TASTE, Port is a strong wine with a smoky taste.
THE YOUNG KID JUMPED THE RUSTY GATE, The young kid jumped the rusty gate.
GUESS THE RESULT FROM THE FIRST SCORES, Get the result from the first scores.
A SALT PICKLE TASTES FINE WITH HAM, A salt-peek will taste fine with ham.
THE JUST CLAIM GOT THE RIGHT VERDICT, The just claim got the right verdict.
THOSE THISTLES BEND IN A HIGH WIND, Those thistles bend in a higher wind.
PURE BRED POODLES HAVE CURLS, Pure bread poodles have curls.
THE TREE TOP WAVED IN A GRACEFUL WAY, The tree top waved in a graceful way.
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK, The spot on the blusher was made by Greening.
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT, Mud was spattered on the front of his white shirt.
THE CIGAR BURNED A HOLE IN THE DESK TOP, The cigar burned a hole in the desktop.
THE EMPTY FLASK STOOD ON THE TIN TRAY, The empty flask's 2-0 metin tray.
A SPEEDY MAN CAN BEAT THIS TRACK MARK, A speedy man can beat this track mark.
HE BROKE A NEW SHOELACE THAT DAY, He broke a new shoe lace that day.
THE COFFEE STAND IS TOO HIGH FOR THE COUCH, The coffee stand is too high for the couch.
THE URGE TO WRITE SHORT STORIES IS RARE, The urge to write short stories is rare.
THE PENCILS HAVE ALL BEEN USED, The pencils have all been used.
THE PIRATES SEIZED THE CREW OF THE LOST SHIP, The pirate seized the crew of the lost ship.
WE TRIED TO REPLACE THE COIN BUT FAILED, We tried to replace the coin but failed.
SHE SEWED THE TORN COAT QUITE NEATLY, She sewed the torn coat quite neatly.
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT, The sofa cushion is red and lightweight.
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR, The jacket hung on the back of the wide chair.
AT THAT HIGH LEVEL THE AIR IS PURE, At that high level the air is pure.
DROP THE TWO WHEN YOU ADD THE FIGURES, Drop the two when you add the figures.
A FILING CASE IS NOW HARD TO BUY, A filing case is now hard to buy.
AN ABRUPT START DOES NOT WIN THE PRIZE, An abrupt start does not win the prize.
WHIT IS BEST FOR MAKING TOYS AND BLOCKS, Wood is best for making toys and blocks.
THE OFFICE PAINT WAS DULL, The office pay was a dollar.
SAID DAN, SED time
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS, He knew the skill of the great young actress.
A RAG WILL SOAK UP SPILLED WATER, A rag will soak up spilled water.
A SHOWER OF DIRT FELL FROM THE HOT PIPES, A shower of dirt filled from the hot pipes.
STEAM HIST FROM THE BROKEN VALVE, Steam he's from the Broken Valve.
THE CHILD ALMOST HURT THE SMALL DOG, The child almost hurt the small dog.
THERE WAS A SOUND OF DRY LEAVES OUTSIDE, There was the sound of dry leaves outside.
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE, The sky that morning was clear and bright blue.
TORN SCRAPS LITTERED THE STONE FLOOR, Torn scraps looted the stone floor.
SUNDAY IS THE BEST PART OF THE WEEK, Sunday is the best part of the week.
THE DOCTOR CURED HIM WITH THESE PILLS, The doctor cured him with these pills.
THE NEW GIRL WAS FIRED TODAY AT NOON, The new girl was fired today at noon.
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT, They felt gay when the ship arrived in port.
ADD THE STORE'S ACCOUNT TO THE LAST CENT, Add the store's account to the last cent.
ACID BURNS HOLES IN WOOL CLOTH, acid burns holes in wool cloth
FAIRY TALES SHOULD BE FUN TO WRITE, Fairy tales should be fun to write.
EIGHT MILES OF WOODLAND BURN TO WASTE, 8 miles of woodland burned to waste
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS, The third act was dull and tied the players.
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT, A young child should not suffer fright.
ADD THE COLUMN AND PUT THE SUM HERE, Add the column and put the sum here.
WE ADMIRE AND LOVE A GOOD COOK, We admire and love a good cook.
THERE THE FLOOD MARK IS TEN INCHES, Feather flood mark is 10 inches.
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE, He carved a head from the round block of marble.
SHE HAS A SMART WAY OF WEARING CLOTHES, She has a smart way of wearing clothes.
THE FRUIT OF A FIG TREE IS APPLE SHAPED, The fruit of a thin tree is apple-shaped.
CORN COBS CAN BE USED TO KINDLE A FIRE, Corncobs can be used to kindle a fire.
WHERE WERE THEY WHEN THE NOISE STARTED, Where were they when the noise started?
THE PAPER BOX IS FULL OF THUMB TACKS, The paper box is full of thumbtacks.
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN, Sell your gift to a buyer at a good game.
THE TONGS LAY BESIDE THE ICE PAIL, The tongs lay beside the ice pale.
THE PETALS FALL WITH THE NEXT PUFF OF WIND, The petals fall with the next puff of wind.
BRING YOUR BEST COMPASS TO THE THIRD CLASS, Bring your best compass to the third class.
THEY COULD LAUGH ALTHOUGH THEY WERE SAD, They could laugh although they were sad.
FARMERS CAME IN TO THRESH THE OAT CROP, Farmers came in to thresh the oak crop.
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC, The brown house was on fire to the attic.
THE LURE IS USED TO CATCH TROUT AND FLOUNDER, The lure is used to catch trout and flounder.
FLOAT THE SOAP ON TOP OF THE BATH WATER, Float the soap on top of the bath water.
A BLUE CRANE IS A TALL WADING BIRD, A blue crane is a tall waiting bird.
A FRESH START WILL WORK SUCH WONDERS, A fresh start will work such wonders.
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT, The club rented the ring for the feast night.
AFTER THE DANCE, After the dance.
THEY WENT STRAIGHT HOME, They went straight home.
THE HOST HAS TAUGHT THE NEW MAID TO SERVE, The host has taught the new maid to serve.
HE WROTE HIS LAST NOVEL THERE AT THE INN, He wrote his last novel there at the end.
EVEN THE WORST WILL BEAT HIS LOW SCORE, Even the worst will beat his low score.
THE CEMENT HAD DRIED WHEN HE MOVED IT, The cement had dried when he moved it.
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE, The loss of the second ship was hard to take.
THE FLY MADE ITS WAY ALONG THE WALL, The fly made its way along the wall.
DO THAT WITH A WOODEN STICK, Do that with a wooden stick.
LIVE WIRES SHOULD BE KEPT COVERED, Live wires should be kept covered.
THE LARGE HOUSE HAD HOT WATER TAPS, The Large House and Hot Water Taps
IT IS HARD TO ERASE BLUE OR RED INK, It is hard to erase blue already.
WRITE AT ONCE OR YOU MAY FORGET IT, Write it once or you may forget it.
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS, The door knob was made of bright clean brass.
THE WRECK OCCURRED BY THE BANK ON MAIN STREET, The wreck occurred by the bank on Main Street.
A PENCIL WITH BLACK LEAD WRITES BEST, A pencil with black lead writes best.
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET, Coke's a young calf to drink from a bucket.
SCHOOLS FOR LADIES TEACH CHARM AND GRACE, Schools for ladies teach charm and grace.
THE LAMP SHONE WITH A STEADY GREEN FLAME, The lamp shone with the steady green flame.
THEY TOOK THE AXE AND THE SAW OF THE FOREST, They took the axe and the saw to the forest.
THE ANCIENT COIN WAS QUITE DULL AND WORN, The ancient coin was quite dull and worn.
THE SHAKY BARN FELL WITH A LOUD CRASH, This shaky bond filled with a loud crash.
JAZZ AND SWING FANS LIKE FAST MUSIC, Jazz and swing fans like fast music.
RAKE THE RUBBISH UP AND THEN BURN IT, Rake the rubbish up and then burn it.
SLASH THE GOLD CLOTH INTO FINE RIBBONS, Slash the gold claw thing to find ribbons.
TRY TO HAVE THE COURT DECIDE THE CASE, Try to have the court decide the case.
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, They are pushed back each time they attack.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS, He broke his ties with groups of former friends.
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS, They floated on the raft to sand their whitebacks.
THE MAP HAD AN X THAT MEANT NOTHING, The map had a mix that meant nothing.
WHITINGS ARE SMALL FISH CAUGHT IN NETS, Whitings are small fish caught in nets.
SOME ADS SERVE TO CHEAT BUYERS, Some ads served to cheat buyers.
JERK THE ROPE IN THE BELL RINGS WEAKLY, Check the rope and the bell rings weekly.
A WAXED FLOOR MAKES US LOSE BALANCE, A wax floor makes us lose balance.
MADAM, Madam
THIS IS THE BEST BRAND OF CORN, This is the best brand of corn.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, On the islands the sea breeze is soft and mild.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The play began as soon as we sat down.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, This will lead the world to more sound and fury.
ADD SALT BEFORE YOU FRY THE EGG, Add salt before you fry the egg
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The rush for funds reached its peak Tuesday.
THE BIRCH LOOKED STARK WHITE AND LONESOME, The birch looked stark white and lonesome.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The box is held by a bright red snapper.
TO MAKE PURE ICE, to make pure ice
YOU FREEZE WATER, You freeze water.
THE FIRST WORM GETS SNAPPED EARLY, The first worm gets snapped early.
JUMP THE FENCE AND HURRY UP THE BANK, Jump the fence and hurry up the bank.
YELL AN CLAP AS THE CURTAIN SLIDES BACK, Yellen clappers the curtain slides back.
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, They are men who walk the middle of the road.
BOTH BROTHERS WERE THE SAME SIZE, Both brothers were the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The prince ordered his head chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The houses are built of red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Ducks flying off but lack a compass.
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavours are used in fizz drinks.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills do less good than others.
CANNED PEARS LACK FULL FLAVOR, can pairs like full flavor
THE DARK POT HUNG IN THE FRONT CLOSET, The dark pot hung in the front closet.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spill it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought a hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We are sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, Grey paint stretch for miles around.
THE RUDE LAUGH FILLED THE EMPTY ROOM, The root left filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, High seats are best for football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, Tea served from the brown jug is tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoils beef stew.
A ZESTFUL FOOD IS THE HOT CROSS BUN, Assist for food is the hot cross barn.
