transcription,transcription_wav2vec2
THE URGE TO WRITE SHORT STORIES IS RARE,THE URGE TO WRITE SHORT STORIES IS RARE
THE PENCILS HAVE ALL BEEN USED,THE PANCILS HAVE ALBEN USED
THE PIRATES SEIZED THE CREW OF THE LOST SHIP,THE PIRATE SEIZED THE CREW OF THE LOST SHIP
WE TRIED TO REPLACE THE COIN BUT FAILED,WE TRIED TO REPLACE THE COIN BUT FAILED
SHE SEWED THE TORN COAT QUITE NEATLY,SHE SEWED THE TORN COAT QUITE NEATLY
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT,THE SOFA CUSHION IS READ OUT OF LIGHT WEIGHT
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR,THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR
AT THAT HIGH LEVEL THE AIR IS PURE,AT THAT HIGH LEVEL THE AIR IS PURE
DROP THE TWO WHEN YOU ADD THE FIGURES,DROP THE TWO WHEN YOU AD THE FIGURES
A FILING CASE IS NOW HARD TO BUY,A FILING CASE IS NOW HARD TO BUY
AN ABRUPT START DOES NOT WIN THE PRIZE,AN ABRUPT START DOES NOT WIN THE PRIZE
WHIT IS BEST FOR MAKING TOYS AND BLOCKS,WOD IS BEST FOR MAKING TOYS AND BLOCKS
THE OFFICE PAINT WAS DULL,THE OFICE PINT WAS A DOW
SAID DAN,SAD TIME
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS,IN YE THE SKIL OF THE GRIAT YOUNG ACTRES
A RAG WILL SOAK UP SPILLED WATER,A RAG WIL SOA CUP SPILED WATER
A SHOWER OF DIRT FELL FROM THE HOT PIPES,A SHOWER OF DIT FIL FROM THE HOT PIPES
STEAM HIST FROM THE BROKEN VALVE,STEAM HEAPS FROM THE BROKEN VALVE
THE CHILD ALMOST HURT THE SMALL DOG,THE CHILD ALMOST HURT THE SMAL DOG
THERE WAS A SOUND OF DRY LEAVES OUTSIDE,THERE WAS THE SOUND OF DRY LEAVES OUTSIDE
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE,THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE
TORN SCRAPS LITTERED THE STONE FLOOR,TON SCRAPS LITED THE STINE FLOR
SUNDAY IS THE BEST PART OF THE WEEK,SUNDAYIS THE BEST PART OF THE WIG
THE DOCTOR CURED HIM WITH THESE PILLS,THE DOCTOR CURED HIM WITH THESE PEALS
THE NEW GIRL WAS FIRED TODAY AT NOON,THE YEGO WAS FAD TO DAY AT NON
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT,THEY FELT GAY WHEN THE SHEP ARIVED IN PORT
ADD THE STORE'S ACCOUNT TO THE LAST CENT,AT THE STORE'S ACOUNT TO THE LAST SCENT
ACID BURNS HOLES IN WOOL CLOTH,ACID BURNS HALSY IN BULCLOTH
FAIRY TALES SHOULD BE FUN TO WRITE,FAIRY TALES SHOULD BE FUN TO RITE
EIGHT MILES OF WOODLAND BURN TO WASTE,EIGHT MILES OF WODLAND BURN TO WASTE
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS,THE THIRD ACT WAS DUL AND TIED THE PLAYIS
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT,A YOUNG CHILD SHOULD NOT SUFER FRAUGT
ADD THE COLUMN AND PUT THE SUM HERE,AD THE COLUMN AND PUT THE SUM HE
WE ADMIRE AND LOVE A GOOD COOK,WE ADMIRE AND LOVE A GOD COK
THERE THE FLOOD MARK IS TEN INCHES,THERE THE FLOD MARKIES TANE INCHES
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE,HE CARVED AHEAD FROM THE ROUND LOCK OF MARBLE
SHE HAS A SMART WAY OF WEARING CLOTHES,SHE HAS A SMOTH WAY OF WEARING CLOITHES
THE FRUIT OF A FIG TREE IS APPLE SHAPED,THE FRUIT OF A FED TRES APLE SHAPED
CORN COBS CAN BE USED TO KINDLE A FIRE,KORN COBS CAN BE USED TO KINDLE A FILE
WHERE WERE THEY WHEN THE NOISE STARTED,WHERE WERE THEY WHEN THE NOISE STARTED
THE PAPER BOX IS FULL OF THUMB TACKS,THE PAPER BOX IS FUL OF THUMB TACTS
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN,SE YOU'L GIVE TO A BAL AT A GOD GANG
THE TONGS LAY BESIDE THE ICE PAIL,THE TONGUES LAY BESIDE THE EYES PALE
THE PETALS FALL WITH THE NEXT PUFF OF WIND,THE PETALS FOR WITH THE NEXT PUF OF WIND
BRING YOUR BEST COMPASS TO THE THIRD CLASS,BRING YOUR BEST COMPAS TO THE THIRD CLAS
THEY COULD LAUGH ALTHOUGH THEY WERE SAD,THEY COULD LAUGH ALTHOUGH THEY WERE SAD
FARMERS CAME IN TO THRESH THE OAT CROP,FARMERS CAME IN TO THRESH THE OAK CROP
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC,THE BROWN HOUSE WAS ON FIRE TO THE ETICU
THE LURE IS USED TO CATCH TROUT AND FLOUNDER,THE LOWER IS USED TO CATCH TROUT AND FLOWND OF
FLOAT THE SOAP ON TOP OF THE BATH WATER,FLOAT THE SOAPE ON TOP OF THE BATH WALSHAR
A BLUE CRANE IS A TALL WADING BIRD,A BLUE CRANE IS A TAL WADING BIRD
A FRESH START WILL WORK SUCH WONDERS,A FRESH START WIL WORK SUCH WONDERS
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT,THE CLUB BRANTED THE RING FOR THE FETH NIED
AFTER THE DANCE,AFTER THE DANCE
THEY WENT STRAIGHT HOME,THEY WENT STRIGHT HARM
THE HOST HAS TAUGHT THE NEW MAID TO SERVE,THE HOST IS TAUGHT THE NEW MADE TO SERVE
HE WROTE HIS LAST NOVEL THERE AT THE INN,HE WROTE HIS LAST NOVEL THERE AT THE IN
EVEN THE WORST WILL BEAT HIS LOW SCORE,EVEN THE WORDS WIL BEAT HIS LOW SCORE
THE CEMENT HAD DRIED WHEN HE MOVED IT,THE SEMENT HAD DRIED WHEN HE MOVED IT
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE,THE LOS OF THE SECOND SHIP WAS HARD TO TAKE
THE FLY MADE ITS WAY ALONG THE WALL,THE FLY MADE ITS WAY ALONG THE WAL
DO THAT WITH A WOODEN STICK,DO THAT WITHE WODEN STIK
LIVE WIRES SHOULD BE KEPT COVERED,LIVE WISE SHOULD BE KEPT COVERED
THE LARGE HOUSE HAD HOT WATER TAPS,THE LARGE HOUSE HAD HOT WATER TAPS
IT IS HARD TO ERASE BLUE OR RED INK,IT IS HARD TO ARAISE BLUE ALREADY INK
WRITE AT ONCE OR YOU MAY FORGET IT,RIT AT ONCE OR YOU MAY FORGET EAT
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS,THE DOR KNOB WAS MADE OF BRIGHT CLEAN BROS
THE WRECK OCCURRED BY THE BANK ON MAIN STREET,THE RICK OCURED BY THE BANK ON MAIN STRET
A PENCIL WITH BLACK LEAD WRITES BEST,A PENCIL WITH BLACK LAID RITES BEST
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET,COAXY YOUNG CALF TO DRINK FROM MY BUCKET
SCHOOLS FOR LADIES TEACH CHARM AND GRACE,SCHOLS FOR LADIES TEACH CHARMAND GRACE
THE LAMP SHONE WITH A STEADY GREEN FLAME,THE LAMP SHONE WITH A STEADY GRAIN FLAME
THEY TOOK THE AXE AND THE SAW OF THE FOREST,THEY TOK THE AXE AND THE SUL TO THE FOREST
THE ANCIENT COIN WAS QUITE DULL AND WORN,THE ANCIENT COIN WAS QUITE DUL AND WORN
THE SHAKY BARN FELL WITH A LOUD CRASH,THE SHAKY BOND FIL WITH A LOUD CRASH
JAZZ AND SWING FANS LIKE FAST MUSIC,JOSENTS WING FANS LIKE PHOS MUSIC
RAKE THE RUBBISH UP AND THEN BURN IT,RAKE THE RALBY SHOP AND THEN BURNET
SLASH THE GOLD CLOTH INTO FINE RIBBONS,SLASH TO GO CLOTHING TO FINE RIBONS
TRY TO HAVE THE COURT DECIDE THE CASE,TRY TO HAVE THE COURT DECIDE THE CASE
THEY ARE PUSHED BACK EACH TIME THEY ATTACK,THEY ARE PUSHED BACK EACH TIME THEY ATACK
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS,HE BROKE HIS TIES WITH GROUPS OF FORMAL FRIENDS
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS,THEY FLOATED ON THE RAFT TO SOME THEIR WIDE BACKS
THE MAP HAD AN X THAT MEANT NOTHING,THE MAP HAD ANAXE THAT MEANT NOTHING
WHITINGS ARE SMALL FISH CAUGHT IN NETS,WHITINGS OURE SMAL FISH COURT IN NETS
SOME ADS SERVE TO CHEAT BUYERS,SOME MADS SERVE TO CHATE BYAS
JERK THE ROPE IN THE BELL RINGS WEAKLY,JEK THE RAPE AN THE BEL RINGS WEAKLY
A WAXED FLOOR MAKES US LOSE BALANCE,A WEXT FLOR MAKES US LOSE BALANCE
MADAM,MADAM
THIS IS THE BEST BRAND OF CORN,TISE IS THE BEST BRAND OF CORN
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD,ON THE ISLANDS THE SEA BREZY SOFT AND MALED
THE PLAY BEGAN AS SOON AS WE SAT DOWN,THE PLAY BEGAN AS SON AS WE SET DOWN
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY,THIS WIL LEAD THE WOE TO MORE SOUND AND FURY
ADD SALT BEFORE YOU FRY THE EGG,AD SALT BEFORE YOU FRY THE EG
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY,THE RUSH THE FUNDS REACHED ITS PAGUE CHESE DAY
THE BIRCH LOOKED STARK WHITE AND LONESOME,THE BIRCH LOKED STARK WHITE AND LONESOME
THE BOX IS HELD BY A BRIGHT RED SNAPPER,THE BOX HES HELD BY A BRIGHT RED SNAP OR
TO MAKE PURE ICE,TO MY PURISE
YOU FREEZE WATER,YE PHRASE WALTER
THE FIRST WORM GETS SNAPPED EARLY,THE FIRST WORM GETS SNAPED EARLY
JUMP THE FENCE AND HURRY UP THE BANK,JUMP THE FINCE AND HURY UP THE BANK
YELL AN CLAP AS THE CURTAIN SLIDES BACK,YEL AND CLAP AS THE CURTAIN SLIDES BACK
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD,THEY ARE MEN WHO WALK THE MIDLE OF THE ROAD
BOTH BROTHERS WERE THE SAME SIZE,BOTH BROTHERS WERE THE SAME SIZE
IN SOME FORM OR OTHER WE NEED FUN,IN SOME FORMORE ARE THER WANADE FAWN
THE PRINCE ORDERED HIS HEAD CHOPPED OFF,THE PRINCE ORDERED HIS HEAD CHOPED OF
THE HOUSES ARE BUILT OF RED CLAY BRICKS,THE HOUSES ARE BUILT OF RED CLAY BREKS
DUCKS FLY NORTH BUT LACK A COMPASS,DUCKS FLY NOFT BUT LACK A COMPAS
FRUIT FLAVORS ARE USED IN FIZZ DRINKS,FRUIT FLY OFIS I USED HIM FO HIS DRINKS
THESE PILLS DO LESS GOOD THAN OTHERS,THESE PELS YOU LES GOD THAN AVAS
CANNED PEARS LACK FULL FLAVOR,CANPEYS LACK FOL FLAVON
THE DARK POT HUNG IN THE FRONT CLOSET,THE DOCK POT HUNG IN THE FARM CLOSET
CARRY THE PAIL TO THE WALL AND SPILL IT THERE,CARY THE PAL TO THE WOL AND SPIL IT THERE
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN,THE TRAIN BROUGHT A HERO TO THE B TOWN
WE ARE SURE THAT ONE WAR IS ENOUGH,WE ARE SURE THAT ONE WARIES ENOUGH
GREAT PAINTS STRETCHED FOR MILES AROUND,GRAY PAINT STRETCH FOR MILES AROUND
THE RUDE LAUGH FILLED THE EMPTY ROOM,THE RID LOV FILED THE EMPTY ROM
HIGH SEATS ARE BEST FOR FOOTBALL FANS,HIGH SEATS ARE BEST FOR FOTBAL FANS
TEA SERVED FROM THE BROWN JUG IS TASTY,T SERVE FROM THE BROWN JAGI'S TISTY
A DASH OF PEPPER SPOILS BEEF STEW,A DASH OF PEPA SPOILS BAF'S CHEW
A ZESTFUL FOOD IS THE HOT CROSS BUN,AZEST FUL FOD IS THE HOT CROWEL SPON
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE,THE HORSE TROTED AROUND THE FIELD AT A BRISK PACE
FIND THE TWIN WHO STOLE THE PEARL NECKLACE,FIND THE TWIN WHO STOLE THE PEARL NECKLACE
CUT THE CORD THAT BINDS THE BOX TIGHTLY,CUT THE CORD THAT BINDS THE BOX TIGHTLY
THE RED TAPE BOUND THE SMUGGLED FOOD,THE RED TAIL BOUND THE SMUGLED FOD
LOOK IN THE CORNER TO FIND THE TAN SHIRT,LOKING THE CORNER TO FIND THE TANT SHIRT
THE COLD DRIZZLE WILL HALT THE BOND DRIVE,THE COL DRIZLE WIL HOLD THE BON DRIVE
NINE MEN WERE HIRED TO DIG THE RUINS,NINE MEN WERE HIDE TO DIG THE RUINS
THE JUNKYARD HAD A MOULDY SMELL,THE JUNKYARD HAD HIM AL TES MIL
THE FLINT SPUTTERED AND LIT A PINE TORCH,THE FLINK SPOTED AND LEACH A PINE TORCH
SOAK THE CLOTH AND DROWN THE SHARP ODOUR,SOAK THE CLOTH AND DROWN THE SHARP ODAR
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS,THE SHELVES WERE BARE OF BOTH JAMEL CRACKERS
A JOY TO EVERY CHILD IS THE SWAN BOAT,A JOY TO EVERY CHILD IS THE SWANG BOAT
ALL SAT FROZEN AND WATCHED THE SCREEN,OL SAT FROZEN AND WATCHED THE SCREN
A CLOUD OF DUST STUNG HIS TENDER EYES,A CLOUD OF DUST STUNG HIS TENDE RISE
TO REACH THE END HE NEEDS MUCH COURAGE,TO REACH THE IN HE MADES MUCH COURAGE
SHAPE THE CLAY GENTLY INTO BLOCK FORM,SHAPE THE CLAY GENTLY INTO BLOCK FORM
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW,A REJONER SMOTH SURFACE IS A BUMP OR FLOR
HEDGE APPLES MAY STAIN YOUR HANDS GREEN,HEDGE APLES MAY STAIN YOUR HANDS GREN
QUENCH YOUR THIRST,QUENCH YOUR THIRST
THEN EAT THE CRACKERS,THEN EAT THE CRACKES
TIGHT CURLS GET LIMP ON RAINY DAYS,TIGHT CURLS GET LIMP ON RAINY DAYS
THE MUTE MUFFLED THE HIGH TONES OF THE HORN,THE MUTE MUFLED THE HIGH TONES OF THE HORN
THE GOLD RING FITS ONLY A PIERCED EAR,THE GOLDRING FITCERNLY APEASED HE
THE OLD PAN WAS COVERED WITH HARD FUDGE,THE OLG PAN WAS COVERED WITH HARD FUDGE
WATCH THE LOG FLOAT IN THE WIDE RIVER,WATCH THE LOG FLOATIN THE WIDE RIVONT
THE NOTE ON THIS STALK OF WHEAT GREW DAILY,THE KNON ON THE STALK OF WET GREW DAILY
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE,THE HEAP OF FALEN LEAFS WAS SET ON FILE
RITE FAST IF YOU WANT TO FINISH EARLY,WRITE FAST IF YOU WANT TO FINISH EARLEY
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE,HIS SHIT WAS CLAIMED THAT ONE BUTON WAS GONE
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS,THE BAREL OF BE WAS A BREW OF MOLTEN HOPSE
TIN CANS ARE ABSENT FROM STORE SHELVES,TINK HANS ARE ABSENT FROM STORESHELVES
SLIDE THE BOX INTO THAT EMPTY SPACE,SLIDE THE BOKS INTO THAT EMPTY SPACE
THE PLANT GREW LARGE AND GREEN IN THE WINDOW,THE PLANT GREW LODGE AND GRAIN IN THE WINDOW
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD,THE BAM DROPED DOWN ON THE WORKMAN'S HEAD
PINK CLOUDS FLOATED WITH THE BREEZE,PINK CLOUDS FLOATED WITH THE BRAZE
SHE DANCED LIKE A SWAN,SHE DANCED LIKE A SWAN
TALL AND GRACEFUL,TOAL AND GRACEFUL
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS,THE TUBE WAS BLOWN AND TE TIRE FLAT AND USELES
IT IS LATE MORNING ON THE OLD WALL CLOCK,IT IS LIKE MORNING ON THE OLD WAL CLOCK
LET'S ALL JOIN AS WE SING THE LAST CHORUS,LET'S OL JOIN AS WE'VE SING THE LAST CHORUS
THE LAST SWITCH CANNOT BE TURNED OFF,THE LASTS WHICH CANOT BE TURNED OF
THE FIGHT WILL END IN JUST SIX MINUTES,THE FIGHT WIL END IN JUST SIX MINUTES
THE STORE WALLS WERE LINED WITH COLORED FROCKS,THE STOL WALS WERE LINED WITH COLOURED FROCKS
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS,THE PASTELAGUE MET TO DISCUS THEIR PLANS
THE RISE TO FAME OF A PERSON TAKES LUCK,THE RISE TO FAME OF A PERSON TAKE LOP
PAPER IS SCARCE,PAPERY SCACE
SO WRITE WITH MUCH CARE,SO RIGTE WITH MUCH CARE
THE QUICK FOX JUMPED ON THE SLEEPING CAT,THE QUICK FOX JUMPED ON THE SLEPING CAT
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS,THE NOZLE OF THE FIRE HOSE WAS BRIGHT BROS
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED,SCREW THE ROUND CAPON AS TIGHT AS NEDED
TIME BRINGS US MANY CHANGES,TIME BRINGS US MANY CHANGES
THE PURPLE TIE WAS TEN YEARS OLD,THE PURPLE TIE WAS TEN YEARS OLD
MEN THINK AND PLAN AND SOMETIMES ACT,MEN THINK IN PLAN AND SOMETIMES ACT
FILL THE INK JAR WITH STICKY GLUE,FILD THE INK JAH WITH STICKY GLUE
HE SMOKE A BIG PIPE WITH STRONG CONTENTS,HE SMOKE A BIG PIPE WITH STRONG CONTENTS
WE NEED GRAIN TO KEEP OUR MULES HEALTHY,WE NED GRIND TO KAPE OUR MULES HEALTHY
PACK THE RECORDS IN A NEAT THIN CASE,PACK THE RECORDS IN AN AT THING CASE
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND,THE CRUNCH OF FET IN THE SNOW WAS THE ONLY SOUND
THE COPPER BOWL SHONE IN THE SUN'S RAYS,THE CORPER BEL SHONE IN THE SUN'S RAYS
BOARDS WILL WARP UNLESS KEPT DRY,BOARDS WIL WOP AND LES KEPT DRY
THE PLUSH CHAIR LEANED AGAINST THE WALL,THE POSH CHALANED AGAINST THE WAL
GLASS WILL CLINK WHEN STRUCK BY METAL,GLAS HO LINQUIN STRUCK BY MITLE
BATHE AND RELAX IN THE COOL GREEN GRASS,FAY THEN RELAX IN THE COL GREN GRAS
NINE ROWS OF SOLDIERS STOOD IN A LINE,NINE ROYS OF SOLDIERS STODING A LINE
THE BEACH IS DRY AND SHALLOW AT LOW TIDE,THE BECH IS DRY AND SHALOW AT LOW TIDE
THE IDEA IS TO SOW BOTH EDGES STRAIGHT,THE IDEA IS DISOPERTH EDGES STRAIT
THE KITTEN CHASED THE DOG DOWN THE STREET,THE KEYTON CHASE THE DOG DOWN THE STRET
PAGES BOUND IN CLOTH MAKE A BOOK,PAGES BOUNDING CLOTH MAKE A BOK
TRY TO TRACE THE FINE LINES OF THE PAINTING,TRY TO TRACE THE FINE LINES OF THE PAINTING
WOMEN FORM LESS THAN HALF OF THE GROUP,WOMEN FORM LES THAN HALF OF THE GROUP
THE ZONES MERGE IN THE CENTRAL PART OF TOWN,THERE'S ARE INSMERGY IN THE CENTRAL PART OF TOWN
A GEM IN THE ROUGH NEEDS WORK TO POLISH,A GEM IN THE ROUGH NEDS WORK TO POLISH
CODE IS USED WHEN SECRETS ARE SENT,CODE IS USED WHEN SECRETS ARE SENT
MOST OF THE NEWS IS EASY FOR US TO HEAR,MOST OF THE NEWS IS EASY FOR US TO HEAR
HE USED THE LATHE TO MAKE BRASS OBJECTS,HE USED THE LAY TO MAKE BROS OBJICKS
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND,THE VEIN ON TOP OF THE PAL REVOLVED IN THE WIND
MINCE PIE IS A DISH SERVE TO CHILDREN,MINSE PIS A DISH SERVE TO CHILDREN
THE CLAN GATHERED ON EACH DULL NIGHT,THE CLAN GATHERED ON EACH DUL NIGHT
LET IT BURN,LATY BURN
IT GIVES US WARMTH AND COMFORT,IT GIVES US WARMTH AND COMFORT
A CASTLE BUILT FROM SAND FAILS TO ENDURE,A COSLE BUILT FROM SAND FILES TO ENDURE
A CHILD'S WIT SAVE THE DAY FOR US,A CHILD'S WITSAVE THE DAY FOR US
TACK THE STRIP OF CARPET TO THE WORN FLOOR,TACK THE STRIP OF CARPET TO THE WORN FLOR
NEXT TUESDAY WE MUST VOTE,NEXT TUESDAY WE MUST VOTE
POUR THE STEW FROM THE POT INTO THE PLATE,POUL THIS JIEWF FROM THE POT INTO THE PLATE
EACH PENNY SHONE LIKE NEW,H PENY SHONE LIKE NEW
THE MAN WENT TO THE WOODS TO GATHER STICKS,THE MAN WENT TO THE WODS TO GATHER THE STAKS
THE DIRT PILES WERE LINES ALONG THE ROAD,THE DIRT PILES WILE LINES ALONG THE ROAD
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM,THE LOGESFIL ANDTOMBOD INTO THE CLEA STREAM
JUST HOIST IT UP AND TAKE IT AWAY,JUST HOIST IT UP AND TAKE IT AWAY
A RIPE PLUM IS FIT FOR A KING'S PALATE,A RIA PLUMES FET FOR A KING'S PALATE
OUR PLANS RIGHT NOW ARE HAZY,I PLANS RIGHT NOW ALHAIZI
BRASS RINGS ARE SOLD BY THESE NATIVES,BROS RINGS THE SOUL BY THESE NATIVES
IT TAKES A GOOD TRAP TO CAPTURE A BEAR,IT TAKES A GOD TRAP TO CAPTURE A BEAR
FEED THE WHITE MOUSE SOME FLOWER SEEDS,FED THE WHITE MOUSE SOME FLOWER SHADES
THE THAW CAME EARLY AND FREED THE STREAM,THE THOR CAME EARLY AND FRED THE STREAM
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE,HE TOK THE LAD AND KEPT AT THE WHAL DISTANCE
THE KEY YOU DESIGNED WILL FIT THE LOOK,THE KEY DESIGN WIL FIT THE LOCK
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF,PLAY TO THE COUNSIL TO FRE THE POL THIEF
BETTER HASH IS MADE OF RARE BEEF,BETA HAS SHE'S MADE OF REB BEF
THIS PLANK WAS MADE FOR WALKING ON,THIS PLANK WAS MADE FOR WALKING ON
THE LAKE SPARKLED IN THE RED HOT SUN,THE LAG SPARKLED IN THE RED HOT SON
HE CRAWLED WITH CARE ALONG THE LEDGE,HE CRAWLED WITH CARE ALONG THE LEGE
TEND THE SHEEP WHILE THE DOG WANDERS,TEN THE SHEP ALE THE DOG WANDERS
IT TAKES A LOT OF HELP TO FINISH THESE,IT TAKES A LOT OF HELP TO FINISH THESE
MARK THE SPOT WITH A SIGN PAINTED RED,MARKE THE SPOT WITH A SIGHING PAIN TO DREAD
TAKE TWO SHARES AS A FAIR PROFIT,TAKE TWO SHARES AS OF FEAR PROFET
THE FUR OF CATS GOES BY MANY NAMES,THE FAIRER CATS GOES BY MANY NAMES
NORTH WINDS BRING COLDS AND FEVERS,NORTH WIND SPRING HOLDS AND FAVORS
HE ASKS NO PERSON TO VOUCH FOR HIM,HE ASKS NO PERSON TO VOUCH FOR HIM
GO NOW AND COME HERE LATER,GO NOW AND COME HERE LAT ON
A SASH OF GOLD SILK WILL TRIM HER DRESS,A SASH OF GOLD SILK WIL TRIM HER ADRES
SOAP CAN WASH MOST DIRT AWAY,SOAP KINWASH MO STIRIT AWAY
THAT MOVE MEANS THE GAME IS OVER,THAT MOD MEANS THE GA MISOUREVAR
HE WROTE DOWN A LONG LIST OF ITEMS,HE WROTE DOWN A LONG MISTOF ITEMS
A SIEGE WILL CRACK THE STRONG DEFENCE,A SAGE WIL CRACT THIS STRONG DEFENCE
GRAPE JUICE AND WATER MIX WELL,GRAPE JUICIN WATER MEKS WEL
ROADS ARE PAVED WITH STICKE TAR,ROADS ARE PAVED WITH STICKY TAR
FAKE STONES SHINE BUT COST LITTLE,FAKE STONES SHINE BUT COST LITLE
THE DRIP OF THE RAIN MADE A PLEASANT SOUND,THE DRIP OF THE REIN MADE A PLEASANT SOUND
SMOKE POURED OUT OF EVERY CRACK,SMOKE POURED OUT OF EVERY CRACK
SERVE THE HOT RUM TO THE TIRED HEROES,SERVE THE HOT RUM TO THE TIRED HEROES
MUCH OF THIS STORY MAKES GOOD SENSE,MUCH OF THE STORY MAKES GOD SENSE
THE SUN CAME UP TO LIGHT THE EASTERN SKY,THE SUN CAME OUT TO LIGHT THE EAST AND SKY
HEAVE THE LINE OVER THE PORT SIDE,HEAVE THE LINE OVER THE PORT SIDE
A LATHE CUTS AND TRIMS ANY WOOD,ALEOVE CUTS AND TROMS ANY WOD
IT'S A DENSE CROWD IN TWO DISTINCT WAYS,ITCIDENSE CROWDING TWO DISTINCT WAYS
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER,HIS HUPE STRUCK THE KNE OF THE NAKE'S PLAYO
THE STALE SMELL OF OLD BEER LINGERS,THE STALE SMEL OF OLD BEA LINGERS
THE DESK WAS FIRM ON THE SHAKY FLOOR,THE DESK WAS FIRM ON THE SHAKY FLOR
IT TAKES HEAT TO BRING OUT THE ODOR,IT TAKES HED TO BRING OUT THE ODOR
BEEF IS SCARCER THAN SOME LAMB,BEF IS SCARCER THAN SOME LAMB
RAISE THE SAIL AND STEER THE SHIP NORTHWARD,RAISE THE SAILANTS TETHE SHIP NORTHWARD
A CONE COSTS FIVE CENTS ON MONDAYS,OCURING COST FIVE CENTS ON MONDAYS
A POD IS WHAT PEAS ALWAYS GROW IN,A POD IS WHAT PAS ALWAYS GROW IN
JERK THAT DART FROM THE CORK TARGET,JOKE THAT DART FROM THE CORK TARGET
NO CEMENT WILL HOLD HARD WOOD,NO SEMENT WIL HOLD HARD WOD
WE NOW HAVE A NEW BASE FOR SHIPPING,WE NOW HAVE A NEW BASE FOR SHIPING
A LIST OF NAMES IS CARVED AROUND THE BASE,A LIST OF NAMES IS CARVED AROUND THE BASE
THE SHEEP WERE LED HOME BY A DOG,THE SHEP WIL LAID HAME BY A DOG
THREE FOR A DIME,THRE FOR A TIME
THE YOUNG PEDDLER CRIED,THE YOUNG PEDLER CRIED
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH,THE SENSE OF SMEL IS BETER THAN THAT OF TAUNCH
NO HARDSHIP SEEMED TO MAKE HIM SAD,NO HARDSHIP SEMED TO MAKE HIM SAD
GRACE MAKES UP THE LACK OF BEAUTY,GRACE MAKES UP FO LACK OF BEAUTY
NODGE GENTLY BUT WAKE HER NOW,NUDGE GENTLY BUT WIKE HER NOW
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS,THE NEWS STRUCK DOUT INTO RESTLES MINDS
ONCE WE STOOD BESIDE THE SHORE,ONCE WE STOPED BESIDE THE SHORE
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW,A CHINK IN THE WOL ALOWED A DRAUGHT TO BLUR
FASTEN TWO PINS ON EACH SIDE,FASTEN TWO PINTS ON EACH SIDE
A COLD DIP RESTORES HEALTH AND ZEST.,A CALD DEPEST HOS HEALTH ANDSEST
HE TAKES THE OATH OF OFFICE EACH MARCH,HE TAKES THE OATH OF OFICEACH MARCH
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE,THE SAND DRIFTS OVER THE SILS OF THE OLD HOUSE
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED,THE POINT OF THE STEL PEN WAS BENT AND TWISTED
THERE IS A LAG BETWEEN THOUGHT AND ACT,THERE IS A LAG BETWEN THOUGHT AND ACT
