transcription,transcription_whisper_base
HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHEET, He wrote his name boldly at the top of the sheet.
DILL PICKLES ARE SOUR BUT TASTE FINE, Do pickles are sour but taste fine.
DOWN THAT ROAD IS THE WAY TO THE GRAIN FARMER, Down that road is the way to the grain farmer.
EITHER MUD OR DUST ARE FOUND AT ALL TIMES, Either Muddor Duster found it all times.
THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS, The best method is to fix it in place with clips.
IF YOU MUMBLE YOUR SPEECH WILL BE LOST, If you mumble your speech will be lost.
AT NIGHT THE ALARM ROUSED HIM FROM A DEEP SLEEP, At night the alarm roused him from a deep sleep.
READ JUST WHAT THE METER SAYS, Read just what the meter says.
FILL YOUR PACK WITH BRIGHT TRINKETS FOR THE POOR, Foo your pack with bright trinkets for the pool.
THE SMALL RED NEON LAMP WENT OUT, The small red neon lamp went out.
CLAMS A SMALL ROUND SOFT AND TASTY," Clems a small, round, soft, and tasty."
THE FAN WHIRLED ITS ROUND BLADES SOFTLY, The thin wall it's round blade softly.
THE LINE WHERE THE EDGES JOIN WAS CLEAN, The line where the ages join was clean.
BREATHE DEEP AND SMELL THE PINY AIR, Breathe deep and smell the pioneer.
IT MATTERS NOT IF HE READS THESE WORDS OR THOSE, It matters not if he reads these words or those.
A BROWN LEATHER BAG HUNG FROM ITS STRAP, A brown leather bag hung from its strap.
HE TOAD AND A FROG ARE HARD TO TELL APART, A toe-dinner frog got hired to tell apart.
A WHITE SILK JACKET GOES WITH ANY SHOES, A white silk jacket goes with any shoes.
A BREAK IN THE DAM ALMOST CAUSED A FLOOD, I break in the dam almost caused a flood.
PAINT THE SOCKETS IN THE WALL DULL GREEN, Paint the sockets in the walled-out green.
THE CHILD CRAWLED INTO THE DENSE GRASS, The child crawled into the dense grass.
BRIBES FAIL WHERE HONEST MEN WORK, Prives fail where honest men work.
TRAMPLE THE SPARK, Tramp over Spark
ELSE THE FLAMES WILL SPREAD, Else the flames will spread.
THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS, The hilt of the sword was carved with fine designs.
A ROUND HOLE WAS DRILLED THROUGH THE THIN BOARD, Around Hall was drilled through the theme board.
FOOTPRINTS SHOWED THE PATH HE TOOK UP THE BEACH, Footprints showed the path you took up the beach.
SHE WAS WAITING AT MY FRONT LAWN, She was waiting at my front lawn.
A VENT NEAR THE EDGE BROUGHT IN FRESH AIR, Event me the age-boarding fresh air.
PROD THE OLD MULE WITH A CROOKED STICK, Proud the old meal with a crooked stick.
IT IS A BAND OF STEEL THREE INCHES WIDE, It is a band of steel 3 inches wide.
THE PIPE RAN ALMOST THE LENGTH OF THE DITCH, The pipe ran almost the length of the ditch.
IT WAS HIDDEN FROM SIGHT BY A MASS OF LEAVES AND SHRUBS, It was hidden from sight by a massive leaves and shrubs.
THE WEIGHT OF THE PACKAGE WAS SEEN ON THE HIGH SCALE, The weight of the package was seen on the high scale.
WAKE AND RISE, Waking rise.
AND STEP INTO THE GREEN OUTDOORS, and step into the green outdoors.
THE GREEN LIGHT IN THE BROWN BOX FLICKERED, The green light in the brown box flickered.
THE BRASS TUBE CIRCLED THE HIGH WALL, The brass cheap circle the high wall.
THE LOBES OF HER EARS WERE PIERCED TO HOLD RINGS, The lobes of her ESWoopies to hold rings.
HOLD THE HAMMER NEAR THE END TO DRIVE THE NAIL, Hold the hammer near the end to drive the nail.
NEXT SUNDAY IS THE TWELFTH OF THE MONTH, Next Sunday is the 12th of the month.
EVERY WORD IN PHRASE HE SPEAKS IS TRUE, Every word and phrase he speaks is true.
HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED, He put his last cartridge into the gun and fired.
THEY TOOK THEIR KIDS FROM THE PUBLIC SCHOOL, They took their kids from the public school.
DRIVE THE SCREW STRAIGHT INTO THE WOOD, Drive the screw straight into the wood.
KEEP THE HATCH TIGHT ON THE WATCH CONSTANT, Keep the hatch tight and the watch constant.
SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE, 7th of the twine with a quick snip of the knife
PAPER WILL DRY OUT WHEN WET, Paper will dry out when wet.
SLIDE THE CATCH BACK AND OPEN THE DESK, Slide the catch back and open the disc.
HELP THE WEAK TO PRESERVE THEIR STRENGTH, Help the week to preserve their strength.
A SULLEN SMILE GETS FEW FRIENDS, A Silent Smirkel gets few friends.
STOP WHISTLING AND WATCH THE BOYS MARCH, Stop whistling and watch the boys march.
JERK THE CORD, Check the code.
AND OUT TUMBLES THE GOLD, and up tumble the gold.
SLIDE THE TRAY ACROSS THE GLASS TOP, Slide the tray across the glass top.
THE CLOUD MOVED IN A STATELY WAY AND WAS GONE, The cloud moved in a stately way and was gone.
LIGHT MAPLE MAKES FOR A SWELL ROOM, Light maple makes for a swell room.
SET THE PEACE HERE AND SAY NOTHING, said the piece here and say nothing.
DULL STORIES MAKE HER LAUGH, Doll Stories Make Her Love
A STIFF CORD WILL DO TO FASTEN YOUR SHOE, A stiff corn will do to fasten your shoe.
GET THE TRUST FUND TO THE BANK EARLY, Get the trust fund to the bank early.
CHOOSE BETWEEN THE HIGH ROAD AND THE LOW, Choose between the high road and the low.
A PLEA FOR FUNDS SEEMS TO COME AGAIN, Oply for fun seems to come again.
HE LENT HIS COAT TO THE TALL GAUNT STRANGER, He linked his coat to the tall gourd stranger.
THERE IS A STRONG CHANCE IT WILL HAPPEN ONCE MORE, There is a strong chance it will happen once more.
THE DUKE LEFT THE PARK IN A SILVER COACH, The G-Cliff the parking of Silver Coach.
GREET THE NEW GUESTS AND LEAVE QUICKLY, Create the new guests and leave quickly.
WHEN THE FROST HAS COME IT IS TIME FOR TURKEY, When the frost has come it is time for Turkey.
SWEET WORDS WORK BETTER THAN FIERCE, Sweet words work better than fees.
A THIN STRIPE RUNS DOWN THE MIDDLE, A thin stripe runs down the middle.
A SIX COMES UP MORE OFTEN THAN A TEN, As seeks comes up more often than a 10.
LUSH FERN GROW ON THE LOFTY ROCKS, Lush fans grow on the lofty rocks.
THE RAM SCARED THE SCHOOL CHILDREN OFF, The ramp scared the school children off.
THE TEAM WITH THE BEST TIMING LOOKS GOOD, The team with the best timing looks good.
THE FARMER SWAPPED HIS HORSE FOR A BROWN OX, The farmers walked his horse for a brown ox.
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO, Sit on the perch and tell the others what to do.
A STEEP TRAIL IS PAINFUL FOR OUR FEET, A steep trail is painful for our feet.
THE EARLY PHASE OF LIFE MOVES FAST, The early phase of life moves fast.
GREEN MOSS GROWS ON THE NORTHERN SIDE, Green moss grows on the northern side.
TEA IN THIN CHINA HAS A SWEET TASTE, T and Fin China has a sweet taste.
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE, Peach this drawer through the door of the stable.
THE LATCH ON THE BACK GATE NEEDED A NAIL, The latch on the back gate needed a nail.
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET, The goose was brought straight from the old market.
THE SINK IS THE THING IN WHICH WE PILE DISHES, The sink is the thing in which we particles.
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD, A weath of it will cure the most stubborn cold.
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT, The facts don't always show who is right.
SHE FLAPS HER CAPE AS SHE PARADES THE STREET, She flups her cape as she parades the street.
THE LOSS OF THE CRUISER WAS A BLOW TO THE FLEET, The loss of the cruiser was a blow to the fleet.
LOOP THE BRAID TO THE LEFT AND THEN OVER, Loop the braid to the left and then over.
PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE, Play with the lawyer to drop the lost cause.
CALVES THRIVE ON TENDER SPRING GRASS, Calfs thrive on changes spring grass.
POST NO BILLS ON THIS OFFICE WALL, Post no bills on the surface wall.
TEAR A THIN SHEET FROM THE YELLOW PAD, Terror thing shoot from the yellow pad.
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN, A cruising warm water's in a sleek yacht is fun.
A STREAK OF COLOR RAN DOWN THE LEFT EDGE, A streak of color ran down the left edge.
IT WAS DONE BEFORE THE BOY COULD SEE IT, It was done before the boy could see it.
CROUCH BEFORE YOU JUMP OR MISS THE MARK, Crouch before you jump or miss the mark.
PACK THE KITS AND DON'T FORGET THE SALT, Pack the kits and don't forget the salt.
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE, The square peg will settle in the round hole.
FINE SOAP SAVES TENDER SKIN, Find Soap Saves Tender Skin.
POACHED EGGS AND TEA MUST SUFFICE, Poached exam team us to FICE.
BAD NERVES ARE JANGLED BY A DOOR SLAM, Bad nerves are jangled by a door slam.
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES, Shoot maps are different from those of the planes.
DIMES SHOWERED DOWN FROM ALL SIDES, Dimes show down from all sides.
THEY SANG THE SAME TUNES AT EACH PARTY, They sang the same tunes at each party.
THE SKY AND THE WEST IS TINGED WITH ORANGE RED, The sky and the west is tinged with orange red.
THE PODS OF PEACE FERMENT IN BARE FIELDS, The points of peace for Manting Bear Fields
THE HORSE BALKED AND THREW THE TALL RIDER, The horse walked in through the toll rider.
THE HITCH BETWEEN THE HORSE AND CART BROKE, The hitch between the horse and cart broke.
PILE THE COAL HIGH IN THE SHED CORNER, Follow the coal high in the ship corner.
A GOLD VASE IS BOTH RARE AND COSTLY, A gold vase is both wearing costly.
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH, The knife was hung inside its bright she.
THE RAREST SPICE COMES FROM THE FAR EAST, The rarest spice comes from the far east.
THE ROOF SHOULD BE TILTED AT A SHARP SLANT, The roof should be tilted at a shop's lawn.
A SMATTER OF FRENCH IS WORSE THAN NONE, A smatter of French is worse than none.
THE MULE TROD THE TREADMILL DAY AND NIGHT, The Mule trobbed the treadmill day and night.
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND, The aim of the contest is to raise a great fund.
TO SEND IT NOW IN LARGE AMOUNTS IS BAD, To send it now in Lodger Mount C-Spod.
THERE IS A FINE HARD TANG IN SALTY AIR, There is a fine hard-tang in Saltier.
COD IS THE MAIN BUSINESS OF THE NORTH SHORE, Coddies the main business of the North Shore.
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE, The slab was hidden from heavy blocks of slate.
DUNK THE STALE BISCUITS INTO STRONG DRINK, Tunk the stale biscuits into strong drink.
HANG TINSEL FROM BOTH BRANCHES, Hang tin saw from both branches.
CAMP THE JAR WITH A TIGHT BRASS COVER, Cut the jaw with a tight brass cover.
THE POOR BOY MISSED THE BOAT AGAIN, The poor boy missed the boat again.
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE, Be sure to set that lamp firmly in the hole.
PICK A CARD AND SLIP IT UNDER THE PACK, Peek a card and slip it under the pack.
A ROUND MAT WILL COVER THE DULL SPOT, Around Mad will cover the dull spot.
THE FIRST PART OF THE PLAN NEEDS CHANGING, The first part of the plan needs changing.
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW, A good book informs of what we ought to know.
THE MAIL COMES IN THREE BATCHES PER DAY, The mail comes in three batches per day.
YOU CANNOT BREW TEA IN A COLD POT, You cannot bootie in a cold pot.
DOTS OF LIGHT BETRAYED THE BLACK CAT, Dots of light betrayed the black cat.
PUT THE CHART ON THE MANTEL AND TACK IT DOWN, Put the chart on the mental and tack it down.
THE NIGHT SHIFT MEN RATE EXTRA PAY, The Night Shift Men Rate Extra Pay
THE RED PAPER BRIGHTENED THE DIM STAGE, The red paper brightened the dim stage.
SEE THE PLAYER SCOOT TO THIRD BASE, See the players get to third base.
SLIDE THE BILL BETWEEN THE TWO LEAVES, Slide the bill between the two leaves.
MANY HANDS HELP GET THE JOB DONE, Many hands help get the job done.
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS, We don't like to admit our small faults.
NO DOUBT ABOUT THE WAY THE WIND BLOWS, No doubt about the way the wind blows.
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD, Dig deep in the earth for pirate's gold.
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN, The steady drip is worse than a drenching rain.
A FLAT PACK TAKES LESS LUGGAGE SPACE, A flat pack takes less luggage space.
GREEN ICE FROSTED THE PUNCH BOWL, Green ice frosted the punch ball.
A STUFF CHAIR SLIPPED FROM THE MOVING VAN, I stuffed chair-sleep from the moving van.
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED, The stick will serve but needs to be shortened.
A THIN BOOK FITS IN THE SIDE POCKET, A thin book fits in the side pocket.
THE GLOSS ON TOP MADE IT UNFIT TO READ, The gloss on top made it unfit to read.
THE HAIL PATTERED ON THE BURNT BROWN GRASS, The hail passage on the burnt brown grass.
SEVEN SEALS WERE STAMPED ON GREAT SHEETS, 7 seals with stamped on great sheets
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS, A troops are set to strike heavy blows.
THE STORE WAS JAMMED BEFORE THE SALE COULD START, The store was jammed before the sale could start.
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE, It was a bad era on the part of the new judge.
ONE STEP MORE IN THE BOARD WILL COLLAPSE, One step more and the board will collapse.
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE, Take the match and strike it against your shoe.
THE POT BOILED BUT THE CONTENTS FAILED TO JELL, The pot boiled but the contents failed to gel.
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH, The baby puts his right foot in his mouth.
THE BOMBS LEFT MOST OF THE TOWN IN RUINS, The bombs left most of the towning ruins.
STOP AND STARE AT THE HARD WORKING MAN, Stop and steer at the hardworking man.
THE STREETS ARE NARROW AND FULL OF SHARP TURNS, The streets and arrow and full of sharp turns.
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE, The pop-jerk delisha Zisora feel-in-shake.
OPEN YOUR BOOK TO THE FIRST PAGE, Open your book to the first page.
FISH EVADE THE NET AND SWIM OFF, Fissivate the nation's whim off.
DIP THE PAIL ONCE AND LET IT SETTLE, Keep the pale once and let it settle.
WILL YOU PLEASE ANSWER THAT PHONE, Will you please answer that phone?
THE BIG RED APPLE FELL TO THE GROUND, The B-grade apple fell to the ground.
THE CURTAIN ROSE AND THE SHOW WAS ON, The curtain rose and the show was on.
THE YOUNG PRINCE BECAME HEIR TO THE THRONE, The young prince became heir to the throne.
HE SENT THE BOY ON A SHORT ERRAND, He sent the boy on his short herring.
LEAVE NOW AND YOU WILL ARRIVE ON TIME, Leave now and you will arrive on time.
THE CORNER STORE WAS ROBBED LAST NIGHT, The corner store was robbed last night.
A GOLD RING WILL PLEASE MOST ANY GIRL, A gold ring will please most any girl.
THE LONG JOURNEY HOME TOOK A YEAR, The long journey home took a year.
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE, She saw a cat in the neighbor's house.
A PINK SHELL WAS FOUND ON THE SANDY BEACH, A pig show was found on the sandy beach.
SMALL CHILDREN CAME TO SEE HIM, Small children came to see him.
THE GRASS AND BUSHES WERE WET WITH DEW, The grass and bushes were wet with G.
THE BLIND MAN COUNTED HIS OLD COINS, The blind man counted his old coins.
A SEVERE STORM TORED DOWN THE BARN, I served these dorms tall down the barn.
SHE CALLED HIS NAME MANY TIMES, She called his name many times.
WHEN YOU HEAR THE BELL COME QUICKLY, When you hear the bell come quickly.
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The bridge can easily don't have smoke blanks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Clear the sheet to the dark blue background.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of a well.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These dice of chicken leg is a red dish.
RICE IS OFTEN SERVED IN ROUND BOWLS," Wass is offensive, didn't round balls."
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the park truck.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The hogs were fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, 4 hours of steady work faced us.
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was there when the sun rose.
A ROD IS USED TO CATCH PINK SALMON, A road is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Keep the ball straight and full of through.
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet.
A POT OF TEA HELPS TO PASS THE EVENING, A port of tea helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smirky finds lack flame and heat.
THE SOFT CUSHION BROKE THE MAN'S FALL, The soft cushion broke the man's fall.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The Salt Breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, The girl at the brief sold 50 bonds.
THE SMALL PUP GNAWED A HOLE IN THE SACK, This small pup got a hole in the sock.
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent rock.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the Pants and Sew a button on the vest.
THE SWAN DIVE WAS FAR SHORT OF PERFECT, This one dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, The beauty of the views done the young boy.
TWO BLUE FISH SWAM IN THE TANK, Subluepish swam in the tank.
HER PURSE WAS FULL OF USELESS TRASH, Headpress was full of useless trash.
THE COLT REARED AND THREW THE TALL RIDER, The cult re-evident Kyrgyz II Rada.
IT SNOWED, It's night.
RAINED, Rind
AND HAILED THE SAME MORNING, And held the same morning.
READ VERSE OUT LOUD FOR PLEASURE, Reverse Outline for Pleasure
HOIST THE LOAD TO YOUR LEFT SHOULDER, Point for load to your left shoulder.
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding path to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, Note closely the size of the guest tank.
WIPE THE GREASE OFF HIS DIRTY FACE, Wap the grease off his dirty face.
MEND THE COAT BEFORE YOU GO OUT, Then the coat before you go out.
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained in hung limp.
THE STRAY CAT GAVE BIRTH TO KITTENS, The Straycat gave birth to kittens.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The young girl gave her clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The meal was cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, I can't rule the state in the alley dies.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was torn apart on the sharp reef.
